"participant","exc.same","exc.diff","in.same","in.diff","neutral","preCS"
"iPIT001",9.64285714285714,0.642857142857143,1.21428571428571,8.57142857142857,5.35714285714286,5.31428571428571
"iPIT002",10.7142857142857,15,13.5,12.6428571428571,12.7857142857143,13.8
"iPIT003",5.5,3.71428571428571,3.07142857142857,6.28571428571429,5.35714285714286,6.48571428571429
"iPIT004",4.21428571428571,3.92857142857143,3.57142857142857,4.07142857142857,3.71428571428571,4.57142857142857
"iPIT005",16.2142857142857,0.785714285714286,0.857142857142857,6.64285714285714,10.3571428571429,10.5857142857143
"iPIT006",26.7142857142857,1.28571428571429,3.64285714285714,2.71428571428571,12.7857142857143,12.6142857142857
"iPIT007",13.3571428571429,0.785714285714286,1.42857142857143,3.14285714285714,6.21428571428571,6.95714285714286
"iPIT008",17.2142857142857,0.714285714285714,2.5,14.7142857142857,8.35714285714286,8.51428571428571
"iPIT009",21.6428571428571,0,0,0,0,0.0142857142857143
"iPIT010",18.1428571428571,1.92857142857143,2.28571428571429,17,8.14285714285714,10.9571428571429
"iPIT011",9.71428571428571,0.5,0.428571428571429,8.71428571428572,5.78571428571429,6.21428571428571
"iPIT012",14.2142857142857,0,10.9285714285714,0,0,0.185714285714286
"iPIT013",24.3571428571429,3,4.28571428571429,7.78571428571429,13,13.1857142857143
"iPIT014",3,6.35714285714286,0.5,7.85714285714286,5.35714285714286,5.67142857142857
"iPIT015",5.14285714285714,8.42857142857143,8.07142857142857,4.28571428571429,7.28571428571429,6.94285714285714
"iPIT016",5.92857142857143,1.42857142857143,4.92857142857143,1.71428571428571,4.21428571428571,5.18571428571429
"iPIT017",16,0.714285714285714,0.642857142857143,15.7142857142857,8.42857142857143,8.32857142857143
"iPIT018",2.71428571428571,2.07142857142857,2.78571428571429,3.64285714285714,2.92857142857143,3.78571428571429
"iPIT019",15.1428571428571,8.28571428571428,9.64285714285714,13.1428571428571,13.8571428571429,12.9285714285714
"iPIT020",13,1.21428571428571,0.785714285714286,11.5714285714286,8.21428571428571,9.1
